"titulo","autor","anio_publicacion","descripcion","formato"
"La brújula dorada","Philip Pullman","1995","Lyra Belacqua viaja al Norte Ártico en busca de su amigo perdido y descubre secretos sobre el Polvo.","epub"
"El código Da Vinci","Dan Brown","2003","Langdon investiga el asesinato de un curador del Louvre que revela una conspiración sobre el Santo Grial.","epub"
"El nombre de la rosa","Umberto Eco","1980","El monje Guillermo de Baskerville investiga una serie de misteriosos asesinatos en una abadía medieval.","epub"
"Y no quedó ninguno","Agatha Christie","1939","Diez personas son invitadas a una isla aislada donde comienzan a morir una a una.","epub"
"El gran Gatsby","F. Scott Fitzgerald","1925","El misterioso millonario Jay Gatsby persigue su sueño americano y a su amor perdido Daisy en los años veinte.","epub"
"Sherlock Holmes","Arthur Conan Doyle","1887","El brillante detective Sherlock Holmes y su compañero Watson resuelven los crímenes más intrincados de Londres.","epub"
"La sombra del viento","Carlos Ruiz Zafón","2001","Daniel Sempere descubre un misterioso libro en el Cementerio de los Libros Olvidados de la Barcelona de posguerra.","epub"
"El perfume","Patrick Süskind","1985","Jean-Baptiste Grenouille, dotado de un olfato extraordinario, obsesionado con crear el perfume perfecto.","epub"
"Millenium","Stieg Larsson","2005","La periodista Lisbeth Salander y el periodista Mikael Blomkvist investigan la desaparición de Harriet Vanger.","epub"
"El silencio de los corderos","Thomas Harris","1988","La agente del FBI Clarice Starling busca la ayuda del psiquiatra caníbal Hannibal Lecter para atrapar a un asesino.","epub"
"Gone Girl","Gillian Flynn","2012","La desaparición de Amy Dunne en su aniversario de bodas pone bajo sospecha a su marido Nick.","epub"
"Sapiens","Yuval Noah Harari","2011","Historia de la humanidad desde el surgimiento del Homo Sapiens hasta la revolución cognitiva y científica.","pdf"
"Homo Deus","Yuval Noah Harari","2015","Exploración del futuro de la humanidad en la era de los algoritmos, la biotecnología y la inteligencia artificial.","pdf"
"El mundo tal como es","Noam Chomsky","2011","El lingüista y activista analiza la política exterior estadounidense, los medios y la democracia contemporánea.","pdf"
"Breve historia del tiempo","Stephen Hawking","1988","El físico Stephen Hawking explica los conceptos del universo, el Big Bang y los agujeros negros de forma accesible.","pdf"
"El origen de las especies","Charles Darwin","1859","Darwin presenta su teoría de la evolución por selección natural, revolucionando la biología y el pensamiento humano.","pdf"
"El príncipe","Nicolás Maquiavelo","1532","Tratado político sobre cómo un gobernante debe adquirir y mantener el poder en un Estado.","pdf"
"La riqueza de las naciones","Adam Smith","1776","Obra fundacional de la economía moderna que analiza el trabajo, la división del trabajo y el libre mercado.","pdf"
"El arte de la guerra","Sun Tzu","-500","Tratado militar chino antiguo con estrategias aplicables a los negocios, la política y los conflictos modernos.","pdf"
"Meditaciones","Marco Aurelio","180","Reflexiones personales del emperador romano sobre la virtud, la razón y la filosofía estoica.","pdf"
"La interpretación de los sueños","Sigmund Freud","1899","Freud presenta su teoría sobre el inconsciente y el análisis de los sueños como método terapéutico.","pdf"
"La república","Platón","-380","Diálogos filosóficos sobre la justicia, la ciudad ideal y el papel del filósofo-rey en la sociedad.","pdf"
"Ética a Nicómaco","Aristóteles","-350","Aristóteles examina la virtud, la felicidad y el bien supremo como fundamentos de la vida ética.","pdf"
"Crítica de la razón pura","Immanuel Kant","1781","Kant investiga los límites y las posibilidades del conocimiento humano y la razón.","pdf"
"El ser y la nada","Jean-Paul Sartre","1943","Obra fundamental del existencialismo que explora la libertad humana, la conciencia y la existencia.","pdf"
"Así habló Zaratustra","Friedrich Nietzsche","1883","Nietzsche presenta sus ideas sobre el superhombre, la voluntad de poder y el eterno retorno.","pdf"
"El contrato social","Jean-Jacques Rousseau","1762","Rousseau examina la legitimidad de la autoridad política y los fundamentos del gobierno democrático.","pdf"
"Leviatán","Thomas Hobbes","1651","Hobbes argumenta que el Estado surge del contrato social para evitar la guerra de todos contra todos.","pdf"
"Fenomenología del espíritu","Georg Wilhelm Friedrich Hegel","1807","Hegel describe el desarrollo de la conciencia humana hacia el Espíritu Absoluto a través de la dialéctica.","pdf"
"El mundo como voluntad y representación","Arthur Schopenhauer","1818","Schopenhauer presenta su visión del mundo basada en la voluntad irracional como fuerza fundamental.","pdf"
"Investigaciones filosóficas","Ludwig Wittgenstein","1953","Wittgenstein analiza el lenguaje cotidiano y los juegos de lenguaje como fundamento de la comunicación.","pdf"
"Historia de la decadencia y caída del Imperio Romano","Edward Gibbon","1776","Monumental obra que narra el declive del Imperio Romano desde el siglo II hasta la caída de Constantinopla.","pdf"
"El mediterráneo y el mundo mediterráneo","Fernand Braudel","1949","Análisis histórico profundo del mundo mediterráneo en la época de Felipe II de España.","pdf"
"La revolución francesa","Jules Michelet","1847","Historia apasionada de la Revolución Francesa narrada como un drama épico del pueblo.","pdf"
"Historia del mundo en doce mapas","Jerry Brotton","2012","Recorrido por la historia de la cartografía y cómo los mapas han reflejado las concepciones del mundo.","pdf"
"Guns, Germs, and Steel","Jared Diamond","1997","Por qué algunos pueblos dominaron el mundo gracias a armas, enfermedades y acero.","pdf"
"La historia del mundo antiguo","Susan Wise Bauer","2007","Recorrido completo por las civilizaciones antiguas desde Mesopotamia hasta el Imperio Romano.","pdf"
"El mundo antiguo","Fustel de Coulanges","1864","Estudio de las instituciones griegas y romanas a través de la religión y la vida familiar.","pdf"
"Historia de América Latina","Leslie Bethell","1984","Análisis exhaustivo del desarrollo histórico, político y social de América Latina.","pdf"
"La conquista de México","Hugh Thomas","1993","Relato detallado de la conquista española del Imperio Azteca liderada por Hernán Cortés.","pdf"
"Los orígenes del totalitarismo","Hannah Arendt","1951","Análisis del antisemitismo, el imperialismo y el totalitarismo como fenómenos del siglo XX.","pdf"
"El hombre en busca de sentido","Viktor Frankl","1946","Relato del psiquiatra Viktor Frankl sobre su supervivencia en campos de concentración y la logoterapia.","epub"
"Pensar rápido, pensar despacio","Daniel Kahneman","2011","Nobel en economía explica los dos sistemas de pensamiento que guían nuestras decisiones y juicios.","pdf"
"Inteligencia emocional","Daniel Goleman","1995","Goleman argumenta que la inteligencia emocional es más determinante para el éxito que el cociente intelectual.","epub"
"El poder del ahora","Eckhart Tolle","1997","Guía espiritual sobre cómo vivir en el momento presente para alcanzar la iluminación y la paz interior.","epub"
"Los siete hábitos de la gente altamente efectiva","Stephen Covey","1989","Covey presenta siete hábitos para desarrollar el carácter y lograr el éxito personal y profesional.","pdf"
"Mindset","Carol Dweck","2006","La psicóloga explica la diferencia entre la mentalidad fija y la mentalidad de crecimiento.","epub"
"El cerebro del buen jefe","David Rock","2009","Cómo los líderes pueden tomar mejores decisiones aplicando principios de neurociencia.","pdf"
"Fluir","Mihaly Csikszentmihalyi","1990","Investigación sobre la experiencia de flujo, el estado de concentración óptima y felicidad genuina.","epub"
"Las trampas del deseo","Dan Ariely","2008","Economista conductual explica por qué tomamos decisiones irracionales predecibles.","epub"
"Influence","Robert Cialdini","1984","Los seis principios de la persuasión que explican cómo y por qué la gente dice que sí.","epub"
"El diario de Ana Frank","Ana Frank","1947","Diario de una joven judía escondida durante la ocupación nazi de Holanda durante la Segunda Guerra Mundial.","epub"
"Largo camino hacia la libertad","Nelson Mandela","1994","Autobiografía del líder sudafricano sobre su lucha contra el apartheid y sus 27 años en prisión.","epub"
"Steve Jobs","Walter Isaacson","2011","Biografía autorizada del cofundador de Apple, sus visiones revolucionarias y su compleja personalidad.","pdf"
"Mi experimento con la verdad","Mahatma Gandhi","1929","Autobiografía del líder de la independencia india que describe su transformación espiritual y política.","epub"
"Una vida con propósito","Rick Warren","2002","Guía espiritual que explora el propósito de vida desde una perspectiva cristiana.","epub"
